Job Title,Job Description,Skills,Certifications
Associate Applications Support Technician,"The Associate Applications Support Technician is responsible for providing support and ensuring the maintenance of specific software applications, which may be built in-house or third-party software. They should have a deep understanding of the application’s functionality and backend. They are responsible for providing support to the application development, transition, and testing teams, resolving and documenting any issues with the application. The Associate Applications Support Technician works in a team setting and is proficient in applications development and monitoring tools and techniques required by their organization. They are also familiar with the relevant software platforms on which their solutions are deployed. The Associate Applications Support Technician applies critical thinking skills to identify and solve problems. They are passionate about analyzing and resolving problems and addressing technical challenges. They also possess strong interpersonal skills.",Applications Support and Enhancement Level 1-2; Business Needs Analysis Level 2; Configuration Tracking Level 1-2; Customer Experience Management Level 2; Cyber and Data Breach Incident Management Level 2; Process Improvement and Optimization Level 3; Procurement Level 2; Service Level Management Level 3; Software Configuration Level 2; Software Testing Level 2; Stakeholder Management Level 2-3; Test Planning Level 2-3; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
Applications Support Technician,"The Applications Support Technician is responsible for the operation, support, and maintenance of specific software applications, which may be built in-house or third-party software. This individual should have a deep understanding of the application’s functionality and backend. They oversee software testing and transition processes and provide necessary support when required. They are responsible for interacting with the application users and setting up and on boarding the users. The Applications Support Technician works in a team setting and is proficient in applications development and monitoring tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the solutions are deployed. The Applications Support Technician uses critical thinking skills to identify and solve problems. They are passionate about analyzing and resolving problems and addressing technical challenges. They also possess strong interpersonal skills.",Applications Development Level 3; Applications Integration Level 3; Applications Support and Enhancement Level 3; Configuration Tracking Level 3; Customer Experience Management Level 3; Cyber and Data Breach Incident Management Level 3; Collaboration Intermediate; Communication Intermediate; Digital Fluency Basic; Problem Solving Basic; Self Management Intermediate,
Operations and Support Manager,"The Operations and Support Manager manages systems and database administration and help desk functions. This individual focuses on strategic and policy development aspects that will have medium- term consequences on the operation of the function and impact elements of organization performance. They are responsible for overseeing the incident resolution and business continuity plans along with the database and systems administration. They focus on setting goals and priorities, allocating accountability among staff, managing the career development of others, liaising with professional staff and other managers, advising the business on technology-related issues, and engaging in medium-term planning. The Operation and Support Manager is familiar with enterprise architecture frameworks, database administration and systems, and application monitoring tools. The Operations and Support Manager possesses an end-to-end understanding of an organization’s system environment and its critical elements that need to be actively managed to ensure service levels are met. They are a driven leader, able to align the team behind strategic business priorities and motivate key stakeholders to strive for continuous improvement at all levels.",Applications Development Level 4; Applications Integration Level 4; Applications Support and Enhancement Level 4; Budgeting Level 4; Business Continuity Level 5; Business Needs Analysis Level 4; Business Performance Management Level 4; Configuration Tracking Level 4; Change Management Level 4; Cyber and Data Breach Incident Management Level 5; Data Center Facilities Management Level 4; Data Engineering Level 4; Database Administration Level 5; Disaster Recovery Management Level 5; Infrastructure Deployment Level 4; Infrastructure Support Level 4; Infrastructure Strategy Level 5; IT Asset Management Level 4; IT Governance Level 4; IT Standards Level 4; IT Strategy Level 4; Learning and Development Level 5; Manpower Planning Level 4; Networking Level 4; Organizational Analysis Level 4; Organizational Design Level 4; Partnership Management Level 4; People and Performance Management Level 4; Performance Management Level 5; Problem Management Level 4; Process Improvement and Optimization Level 5; Procurement Level 4; Project Management Level 5; Quality Standards Level 4; Security Programme Management Level 4; Collaboration Advanced; Communication Advanced; Decision Making Intermediate; Developing People Intermediate; Digital Fluency Intermediate; Influence Intermediate; Learning Agility Intermediate; Problem Solving Intermediate,
Head of Operations and Support,"The Head of Operations and Support drives the vision and strategy for the IT Operations and Support functions. This individual sets the direction for systems and database administration, day-to-day IT support and operations, data center operations, and system and quality assurance through the delivery of services as per business requirements; controls costs and manages vendors. They are responsible for formulating strategies for service-level agreements. They ensure compliance with the organization’s quality standards, international standards, and government regulations. The Head of Operations and Support is a leader with the energy and commitment to drive large teams toward achieving service- level excellence. The Head of Operations and Support is familiar with enterprise architecture frameworks, database administration and systems, and application monitoring tools. The Head of Operations and Support has a broad sense of perspective with the ability to influence key internal and external stakeholders. They are strategic in their approach to managing resources and developing capabilities within the team. This individual is effective in setting direction aligned with the strategic positioning of the business and the IT functions overall. They can impress upon the team the need to continuously improve service levels and increase efficiencies.",Applications Development Level 5; Applications Integration Level 5; Applications Support and Enhancement Level 4; Budgeting Level 5; Business Continuity Level 6; Business Needs Analysis Level 5; Business Performance Management Level 5; Configuration Tracking Level 4; Change Management Level 5; Contract Management Level 5; Cyber and Data Breach Incident Management Level 5; Cyber Risk Management Level 5; Data Center Facilities Management Level 5; Data Engineering Level 5; Database Administration Level 5; Disaster Recovery Management Level 5; Enterprise Architecture Level 5; Infrastructure Deployment Level 4; Infrastructure Support Level 4; Infrastructure Strategy Level 5; IT Asset Management Level 4; IT Governance Level 5; IT Standards Level 5; IT Strategy Level 5; Learning and Development Level 6; Manpower Planning Level 5; Networking Level 5; Organizational Analysis Level 5; Organizational Design Level 5; Partnership Management Level 5; People and Performance Management Level 5; Performance Management Level 5; Problem Management Level 5; Procurement Level 5; Project Management Level 6; Quality Standards Level 5; Security Programme Management Level 5; Service Level Management Level 5; Software Configuration Level 4; Software Testing Level 4; Stakeholder Management Level 6; Strategy Implementation Level 4; Strategy Planning Level 5; Sustainability Management Level 5; System Integration Level 5; Test Planning Level 5; Collaboration Advanced; Communication Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influency Intermediate; Learning Agility Intermediate; Problem Solving Advanced,
Chief Information Officer,"The Chief Information Officer (CIO) leads the IT function and provides strategic directions, solutions, and policies to support business goals. This individual develops the information strategy and services to meet business requirements including training and upgrading of systems and/or technology knowledge and skills of all staff to improve productivity through information systems. They direct and promote governance policies and standards concerning security, quality, risk, and project management. They lead important innovation initiatives and have ultimate accountability for the function. They provide the highest level of advice and recommendations to the heads of organizations or business units. They can leverage new and innovative technology to develop strategic directions for the IT functions in alignment with the organization’s objectives. The Chief Information Officer can propose solutions and influence key stakeholders to drive commitment to initiatives across the organization.",Budgeting Level 6; Business Continuity Level 6; Business Risk Management Level 6; Business Performance Management Level 5; Change Management Level 6; Cyber and Data Breach Incident Management Level 6; Cyber Risk Management Level 6; Contract Management Level 5; Disaster Recovery Management Level 6; Enterprise Architecture Level 6; Infrastructure Strategy Level 6; IT Governance Level 6; IT Standards Level 6; IT Strategy Level 6; Learning and Development Level 6; Networking Level 5; Organizational Analysis Level 6; Organizational Design Level 6; Partnership Management Level 6; People and Performance Management Level 5; Performance Management Level 6; Problem Management Level 5; Project Management Level 6; Service Level Management Level 6; Stakeholder Management Level 6; Strategy Planning Level 6; Sustainability Management Level 6; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Transdisciplinary Thinking Advanced,
Associate User Interface (UI) Designer,"The Associate User Interface (UI) Designer creates visually appealing and user-friendly interfaces for interactive platforms. This role combines principles of design, color theory, typography, usability, and branding to craft interfaces that are both aesthetically pleasing and intuitive for users. The Associate UI Designer has a strong foundation in visual design, interaction design or usability theory, and user experience (UX) principles are essential. An Associate UI Designer should have a keen eye for color, typography, layout, and iconography to create a cohesive and engaging visual language. They should possess a deep understanding of design software such as Adobe Creative Suite, Sketch, Figma, InVision, Miro, Balsamiq, or similar tools. The Associate UI Designer works closely with UX designers, developers, and product managers to translate user requirements, business goals, and design concepts into functional and attractive interfaces. They create wireframes, prototypes, and high-fidelity mockups to visualize and test design solutions. Additionally, they ensure designs are responsive and consistent across multiple devices and screen sizes. Collaboration and communication are crucial in this role. The Associate UI Designer must effectively communicate design rationale and solicit feedback from cross-functional teams. They should be open to feedback and willing to iterate on designs based on user testing and stakeholder input.",Aesthetic and Design Sensibility Level 3; Business Presentation Delivery Level 3; Creative Storytelling Level 3; Critical Thinking Level 3; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Customization and Localization Level 3; Design Standards and Specifications Level 4; Design Thinking Practice Level 4; Digital and Physical Prototyping Level 4; Empathetic Design Level 3; Immersive Design Level 4; Interaction Design Practice Level 4; Learning and Development Level 4; Project Management Level 3; Quality Assurance Level 4; Research Level 3; Stakeholder Management Level 2; Systems Design Level 4; User Experience Design Level 2-3; User Interface Design Level 3; User Testing and Usability Testing Level 3; Visual Design and Communication Principles Level 4; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Basic; Digital Fluency Basic; Learning Agility Intermediate; Self Management Intermediate,
User Interface (UI) Designer,"The User Interface (UI) Designer plays a pivotal role in shaping the visual language and interactive elements of digital products. This role combines a deep understanding of design principles, user experience (UX) best practices, accessibility standards, and technical constraints to craft intuitive and aesthetically appealing interfaces. The UI Designer’s primary responsibility is to create high-fidelity mockups, responsive design layouts, cross-platform design, and interactive prototypes, applying color and typographic hierarchy that resonate with the target audience. They work closely with UX designers, developers, and product managers to translate user needs, business objectives, and design concepts into functional and delightful interfaces. The UI Designer must have a strong foundation in visual design, interaction design, and usability principles is essential. A UI Designer should have an exceptional eye for color, typography, layout, and iconography, as well as an accomplished level of understanding of design software such as Adobe Creative Suite, Sketch, Figma, InVision, Miro, Balsamiq, or similar tools. Key responsibilities include creating wireframes, prototypes, and high-fidelity mockups to visualize and test design solutions. Additionally, UI Designers ensure that designs are responsive, accessible, and consistent across multiple devices and screen sizes. They also collaborate with developers to ensure seamless implementation of the designs. Effective communication and collaboration are crucial in this role. UI Designers must effectively present design rationales, solicit feedback from cross-functional teams, and incorporate feedback into iterative design cycles. They should also stay up-to-date with the latest design trends, techniques, and technologies.",Aesthetic and Design Sensibilities Level 4; Business Presentation Delivery Level 4; Creative Storytelling Level 4; Critical Thinking Level 4; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Customisation and Localisation Level 4; Design Standards and Specifications Level 5; Design Thinking Practice Level 5; Digital and Physical Prototyping Level 5; Empathetic Design Level 4; Immersive Design Level 5; Interaction Design Practice Level 5; Learning and Development Level 4; Project Management Level 3-4; Quality Assurance Level 4; Research Level 4; Stakeholder Management Level 3; Systems Design Level 5; User Experience Design Level 4-5; User Interface Design Level 4-5; User Testing and Usability Testing Level 4; Visual Design and Communication Principles Level 5; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Intermediate; Decision Making Intermediate; Digital Fluency Intermediate; Learning Agility Intermediate; Problem Solving Advanced; Self Management Intermediate; Transdisciplinary Thinking Intermediate,
Lead User Interface (UI) Designer,"The Lead UI Designer oversees the design vision and visual language of digital products. This role combines deep expertise in graphic design and next-level interactive prototypes to create visually stunning, highly functional user experiences aligned with user needs. As an authority in typography and color theory, the Lead UI Designer sets style guides and high-level design standards for alignment across platforms and devices. The Lead UI Designer envisions the responsiveness and accessibility required for exceptional user experience design. Leveraging deep user empathy, analytics data, and knowledge of emerging capabilities, the Lead spurs exploration of progressive concepts and solutions for complex interfaces and systems. Meticulous rapid ideations and prototypes, user feedback is garnered to underpin intuitive yet delightful designs. Fluency with design tools like Sketch, Figma, InVision, as well as Adobe Creative Cloud, enables the Lead to build and communicate advanced solutions. The ability to code interactive prototypes adds a deeper dimension. This role models and mentors junior designers to elevate their skills. As a respected user experience and customer journey expert, the Lead Uses Interface Designer collaborates with cross- functional teams to align human-centric solutions balancing user needs, technical constraints, and business impact.","Aesthetic and Design Sensibilities Level 5; Business Presentation Delivery Level 5; Creative Storytelling Level 5; Critical Thinking Level 5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 4-5; Design Standards and Specifications Level 5; Design Thinking Practice Level 6; Digital and Physical Prototyping Level 5; Empathetic Design Level 5; Immersive Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 5; Learning and Development Level 5; Project Management Level 4-5; Quality Assurance Level 5; Quality Standards Level 4; Research Level 4-5; Stakeholder Management Level 3; Systems Design Level 6; Training, Coaching and Assessment Management Level 4; User Experience Design Level 4-5; User Interface Design Level 5; User Testing and Usability Testing Level 5; Visual Design and Communication Principles Level 5; Adaptability Advanced; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Transdisciplinary Thinking Advanced",
User Experience (UX) Research Associate,"The User Experience (UX) Research Associate works with cross-functional product teams to plan and conduct user research that informs the design and development of digital products and services. They leverage qualitative and quantitative methods to understand user behaviors, needs, motivations, and pain points across different customer journeys and touchpoints. The UX Research Associate is expected to have a strong awareness of typical customer journeys for the product domain to identify relevant moments of truth for the UX research focus. This requires comprehension of different customer profiles, the ability to map out associated processes and touchpoints, and the application of Customer Experience (CX) concepts like moments of truth and pain point identification throughout their analysis.",Behavioral Economics in Design Level 4; Critical Thinking Level 3; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Data Analysis and Interpretation Level 4; Digital and Physical Prototyping Level 2; Empathetic Design Level 4; Innovation Management Level 4; Interaction Design Practice Level 4; Narrative Design in Product Development Level 3; Qualitative Research Level 4; Quantitative Research Level 4; Research and Development Level 4; User Testing and Usability Testing Level 4; Adaptability Intermediate; Building Inclusivity Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Basic; Digital Fluency Basic; Learning Agility Intermediate; Problem Solving Intermediate; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
User Experience (UX) Researcher,"The User Experience (UX) Researcher is instrumental in deriving profound insights about user behaviors, motivations, and needs. This role is characterized by an intensive focus on conducting user research, and empathetically delving into user psychology to develop mental models and comprehensive user journey maps. These tools enable the researcher to not only understand but also effectively articulate the nuances of the user experience. Collaborating closely with design and product teams, the UX Researcher leverages these insights to shape user-centered design strategies, ensuring that products resonate with users. The UX Researcher plays a crucial role in deriving profound insights, and applying a deep level of empathy while delving into user psychology to understand and interpret the underlying user motivations, behaviors, and needs. This role involves conducting detailed user research and developing comprehensive mental models and user journey maps. These tools enable the researcher to not only understand but also effectively articulate the nuances of the user experience. The UX Researcher collaborates closely with design and product teams to inform user-centered design strategies and product development. Enhanced collaboration with agile teams ensures alignment with development cycles, and strengthened interaction with UX Writers aids in content strategy development. The role also emphasizes cross-functional communication for the effective integration of research insights. Building upon the skills honed as a UX Associate, the UX Researcher plays a pivotal role in steering impactful research, thereby laying the foundation for informed and validated decisions in the design and development process.",Behavioral Economics in Design Level 5; Critical Thinking Level 4; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Data Analysis and Interpretation Level 5; Digital and Physical Prototyping Level 3; Empathetic Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 4; Narrative Design in Product Development Level 4; Qualitative Research Level 5; Quantitative Research Level 5; Research and Development Level 4-5; User Testing and Usability Testing Level 4; Adaptability Intermediate; Building Inclusivity Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Intermediate; Digital Fluency Advanced; Learning Agility Intermediate; Problem Solving Advanced; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
